athlete_id,age,gender,sport,vo2_max,hrv,lactate_threshold,resting_heart_rate,max_heart_rate,stride_length,cadence,force_application,power_output,endurance_score,efficiency_score,adaptability_score,skiing_potential
ROW_1,31,Female,Rowing,46.97,77.52,87.2,57,173,,90,252.66,177.94,51.32,54.88,63.72,0.76
ROW_2,33,Female,Rowing,67.11,69.6,84.66,43,174,,98,340.31,347.54,72.49,54.73,91.34,0.74
ROW_3,33,Male,Rowing,71.76,65.95,71.26,44,195,,61,321.95,169.88,91.46,54.3,58.22,0.77
ROW_4,21,Male,Rowing,72.25,106.38,81.52,45,199,,77,546.54,155.0,86.88,98.82,50.04,0.04
ROW_5,23,Female,Rowing,71.95,94.68,71.86,54,192,,75,364.02,342.41,70.59,87.16,97.62,0.9
ROW_6,32,Female,Rowing,52.92,89.58,66.98,45,187,,88,249.62,287.09,86.76,60.72,69.58,0.89
ROW_7,25,Female,Rowing,79.14,65.82,70.29,47,197,,70,204.1,324.65,77.56,52.3,97.87,0.53
ROW_8,18,Female,Rowing,79.83,114.27,62.13,48,196,,61,488.78,245.69,95.63,98.26,63.9,0.25
ROW_9,30,Female,Rowing,47.65,63.38,69.95,45,179,,73,485.8,152.77,79.36,71.27,53.17,0.59
ROW_10,30,Male,Rowing,77.78,105.65,73.82,41,194,,63,367.11,232.75,70.04,79.92,88.63,0.56
ROW_11,31,Male,Rowing,55.13,117.67,88.66,55,197,,98,250.52,302.03,93.15,63.96,91.79,0.22
ROW_12,28,Male,Rowing,69.12,100.9,69.4,59,173,,93,348.65,206.43,52.49,87.92,74.6,0.6
ROW_13,24,Male,Rowing,56.83,119.5,87.07,40,195,,98,435.95,321.95,95.03,59.84,53.69,0.8
ROW_14,21,Female,Rowing,78.87,95.57,66.87,55,195,,68,481.58,348.6,84.82,89.35,82.71,0.81
ROW_15,34,Female,Rowing,48.55,65.22,65.73,40,182,,99,231.3,263.57,97.03,61.53,59.11,0.06
ROW_16,31,Male,Rowing,62.42,64.27,75.57,40,182,,66,422.52,368.93,62.53,54.9,92.47,0.2
ROW_17,27,Male,Rowing,59.98,72.72,80.18,46,186,,76,310.45,363.7,84.75,73.94,63.7,0.67
ROW_18,23,Female,Rowing,56.41,50.5,61.33,55,177,,82,446.91,369.51,90.47,90.66,92.39,0.86
ROW_19,21,Male,Rowing,67.59,97.72,66.63,56,173,,70,459.26,315.26,85.11,69.24,71.35,0.52
ROW_20,28,Male,Rowing,49.59,68.81,73.67,55,192,,81,564.24,226.2,60.52,51.44,79.82,0.71
ROW_21,30,Female,Rowing,70.08,107.06,69.93,55,172,,77,364.15,270.31,63.78,77.67,89.48,0.02
ROW_22,25,Female,Rowing,79.32,75.14,81.38,45,180,,87,415.04,327.63,78.34,84.02,52.02,0.61
ROW_23,27,Female,Rowing,73.16,83.6,75.33,57,181,,75,307.29,202.64,72.34,87.03,91.06,0.96
ROW_24,28,Male,Rowing,75.1,117.6,64.81,42,178,,63,314.62,334.71,86.76,70.1,56.93,0.66
ROW_25,20,Female,Rowing,57.59,66.95,86.83,47,184,,95,218.41,287.02,68.93,54.85,67.92,0.92
ROW_26,32,Female,Rowing,56.37,100.49,68.79,43,182,,81,314.43,174.0,92.97,79.22,73.64,0.57
ROW_27,25,Male,Rowing,63.1,102.86,81.93,43,174,,70,225.53,289.32,71.6,66.48,94.77,0.84
ROW_28,18,Female,Rowing,46.6,65.47,83.4,56,174,,80,585.57,166.69,52.0,97.34,51.12,0.12
ROW_29,25,Male,Rowing,78.09,85.07,88.89,44,188,,99,449.71,153.58,50.87,75.14,77.96,0.12
ROW_30,20,Male,Rowing,50.03,74.51,74.96,53,180,,75,269.26,372.41,82.34,73.61,82.13,0.12
ROW_31,18,Male,Rowing,76.61,104.03,78.48,54,178,,68,246.71,272.48,77.03,65.46,65.83,0.49
ROW_32,33,Male,Rowing,47.93,93.57,70.05,51,172,,94,348.05,285.82,77.14,66.94,64.52,0.33
ROW_33,26,Female,Rowing,73.79,83.32,80.35,52,187,,93,323.06,219.98,89.5,75.64,74.52,0.72
ROW_34,34,Male,Rowing,50.32,104.56,73.9,57,196,,68,311.7,285.69,68.79,65.33,59.36,0.9
ROW_35,33,Female,Rowing,46.33,66.46,73.13,53,182,,72,387.28,192.22,99.77,94.62,73.41,0.62
ROW_36,23,Female,Rowing,70.18,102.75,85.66,58,194,,65,565.15,336.41,97.28,71.95,88.25,0.21
ROW_37,24,Female,Rowing,54.81,110.58,61.51,46,197,,63,427.22,355.84,50.65,64.6,92.27,0.93
ROW_38,33,Female,Rowing,70.01,111.5,86.46,45,181,,87,408.49,363.97,94.79,57.77,69.26,0.53
ROW_39,25,Female,Rowing,64.43,104.86,85.56,44,178,,70,522.62,176.66,84.03,83.62,80.87,0.72
ROW_40,27,Male,Rowing,48.81,78.56,75.19,43,179,,93,201.61,289.44,75.1,51.29,50.0,0.89
ROW_41,31,Female,Rowing,77.62,118.73,74.71,57,197,,94,278.95,352.19,79.14,72.5,77.52,0.99
ROW_42,28,Male,Rowing,60.83,76.57,70.85,53,182,,64,398.47,182.05,92.09,77.51,98.76,0.51
ROW_43,19,Male,Rowing,70.71,94.7,89.83,55,189,,98,482.12,174.88,97.55,66.99,65.61,0.81
ROW_44,29,Male,Rowing,62.54,61.28,63.34,59,189,,70,394.01,354.24,78.02,87.49,79.74,0.57
ROW_45,30,Female,Rowing,66.15,118.63,77.71,53,182,,71,265.49,349.18,59.06,83.78,88.11,0.49
ROW_46,32,Female,Rowing,55.6,99.28,80.45,44,196,,78,571.99,262.17,81.99,98.57,80.45,0.54
ROW_47,29,Female,Rowing,52.01,102.74,88.03,50,195,,72,331.47,177.43,53.81,75.44,70.92,0.48
ROW_48,30,Female,Rowing,63.99,54.6,83.41,51,198,,63,515.29,279.03,81.76,76.89,57.63,0.42
ROW_49,25,Male,Rowing,60.41,103.44,79.32,57,198,,73,556.57,248.7,90.43,62.29,73.19,0.72
ROW_50,33,Female,Rowing,58.65,104.23,63.5,43,191,,61,338.58,279.64,67.67,69.27,64.74,0.25
ROW_51,20,Female,Rowing,68.54,97.02,71.21,52,178,,67,538.12,259.97,53.56,51.34,84.8,0.62
