athlete_id,age,gender,sport,vo2_max,hrv,lactate_threshold,resting_heart_rate,max_heart_rate,stride_length,cadence,force_application,power_output,endurance_score,efficiency_score,adaptability_score,skiing_potential
RUN_1,23,Female,Running,62.21,116.5,75.97,45,179,1.08,89,466.5,,91.94,75.17,91.67,0.54
RUN_2,20,Male,Running,50.98,98.9,78.68,41,198,0.8,65,528.12,,65.22,64.8,80.85,0.13
RUN_3,22,Female,Running,68.55,56.96,72.11,49,179,0.92,97,304.43,,50.73,61.85,93.61,0.93
RUN_4,26,Female,Running,57.89,56.2,83.94,56,192,0.89,60,520.07,,77.56,94.52,70.17,0.15
RUN_5,22,Male,Running,56.31,101.21,80.6,58,176,1.47,66,340.5,,74.46,52.44,52.87,0.03
RUN_6,29,Male,Running,61.14,65.07,89.58,43,176,0.85,64,394.03,,52.71,82.82,83.13,0.26
RUN_7,29,Male,Running,63.99,81.31,64.14,52,183,1.15,66,275.18,,81.63,50.98,88.22,0.17
RUN_8,33,Male,Running,49.97,118.36,61.75,58,184,1.44,95,394.28,,97.07,59.69,53.64,0.79
RUN_9,24,Female,Running,69.77,107.39,68.24,55,191,1.23,62,406.28,,70.11,64.47,88.55,0.29
RUN_10,31,Male,Running,75.9,109.26,60.57,52,189,1.15,71,448.93,,94.72,94.32,81.96,0.25
RUN_11,26,Male,Running,54.73,110.25,87.98,44,178,1.32,74,547.45,,90.66,56.89,55.82,0.99
RUN_12,32,Male,Running,51.31,93.37,69.12,51,197,1.05,79,321.94,,58.09,96.89,77.0,0.15
RUN_13,28,Female,Running,71.62,102.08,76.57,46,184,0.94,80,593.65,,89.36,90.77,55.44,0.08
RUN_14,21,Female,Running,51.42,75.13,69.54,48,178,1.39,91,539.08,,75.84,83.95,66.08,0.31
RUN_15,28,Male,Running,46.44,119.89,67.37,44,192,0.84,71,361.17,,95.93,70.59,90.2,0.41
RUN_16,26,Female,Running,66.67,69.57,64.57,43,176,1.37,96,290.67,,59.47,95.26,55.04,0.76
RUN_17,23,Male,Running,53.39,91.3,69.61,49,193,0.87,99,228.6,,56.25,76.4,72.97,0.96
RUN_18,34,Female,Running,51.01,69.74,78.46,55,180,1.24,66,293.75,,62.06,68.56,80.29,0.76
RUN_19,26,Male,Running,79.36,57.84,89.15,50,174,1.13,90,553.81,,52.98,79.28,97.03,0.73
RUN_20,23,Female,Running,55.22,89.73,76.74,48,196,1.5,60,316.81,,66.0,61.61,86.86,0.99
RUN_21,23,Female,Running,76.62,74.73,75.98,44,178,1.07,70,255.19,,64.15,63.64,56.96,0.77
RUN_22,21,Female,Running,51.24,90.83,61.06,50,175,1.47,93,209.07,,70.81,95.97,98.44,0.14
RUN_23,28,Male,Running,73.66,89.11,85.2,48,176,1.08,78,319.07,,73.15,89.7,73.9,0.46
RUN_24,20,Female,Running,62.57,87.96,61.35,56,197,1.28,70,286.46,,57.24,75.68,68.49,0.5
RUN_25,33,Female,Running,47.75,58.63,87.19,50,192,1.25,92,240.88,,80.97,70.83,56.44,0.3
RUN_26,33,Female,Running,70.68,80.81,76.16,45,194,0.86,92,580.43,,61.18,90.38,96.67,0.16
RUN_27,29,Male,Running,76.22,106.84,65.05,55,192,1.32,67,307.05,,56.1,78.53,79.31,0.71
RUN_28,31,Female,Running,50.71,72.06,73.55,58,183,0.95,67,202.47,,85.44,70.75,99.4,0.28
RUN_29,26,Male,Running,70.4,81.07,89.85,53,188,1.07,93,577.71,,51.14,75.77,58.69,0.62
RUN_30,24,Male,Running,60.58,84.57,69.15,42,191,1.35,99,431.41,,68.42,61.64,77.29,0.32
RUN_31,31,Male,Running,71.39,110.39,68.08,49,191,1.46,86,233.13,,57.22,60.1,55.49,0.51
RUN_32,27,Male,Running,69.99,95.89,63.54,43,180,1.19,88,212.57,,94.14,99.45,76.21,0.34
RUN_33,28,Male,Running,45.93,57.01,77.91,41,197,1.16,73,243.14,,91.22,98.48,94.49,0.41
RUN_34,24,Female,Running,51.26,110.56,62.68,52,176,1.15,93,436.6,,53.03,71.04,55.47,0.73
RUN_35,28,Male,Running,61.49,108.24,82.98,50,175,1.37,96,224.75,,77.52,75.76,63.48,0.88
RUN_36,23,Female,Running,77.68,102.76,87.58,51,173,1.5,60,427.26,,64.77,91.36,84.12,0.51
